1 1 1
2 2 1.85498
2 3 -0.0722343
2 601 -0.81058
2 602 -0.580252
3 2 -0.0722343
3 3 1.90871
3 4 -0.0313586
3 601 -0.870003
3 604 -0.935112
4 3 -0.0313586
4 4 1.91121
4 5 -0.262332
4 598 -0.498316
4 604 -1.1192
5 4 -0.262332
5 5 1.8278
5 6 -0.435368
5 101 -0.289702
5 598 -0.840395
6 5 -0.435368
6 6 1.79907
6 7 -0.285647
6 101 -0.319636
6 183 -0.758415
7 6 -0.285647
7 7 1.738
7 8 -0.350416
7 166 -0.54334
7 183 -0.558594
8 7 -0.350416
8 8 1.77103
8 9 -0.185588
8 166 -0.467168
8 170 -0.767859
9 8 -0.185588
9 9 1.79191
9 10 -0.328765
9 170 -0.858829
9 173 -0.418726
10 9 -0.328765
10 10 1.81338
10 11 -0.47567
10 171 -0.322782
10 173 -0.686166
11 10 -0.47567
11 11 1.82222
11 12 -0.281173
11 151 -0.764217
11 171 -0.301158
12 11 -0.281173
12 12 1.77671
12 13 -0.274375
12 151 -0.748537
12 153 -0.472625
13 12 -0.274375
13 13 1.87211
13 14 -0.349457
13 119 -0.247366
13 153 -1.00091
14 13 -0.349457
14 14 1.79729
14 15 -0.159387
14 119 -0.434609
14 156 -0.853835
15 14 -0.159387
15 15 1.76393
15 16 -0.297066
15 156 -0.760575
15 160 -0.546898
16 15 -0.297066
16 16 1.76464
16 17 -0.421676
16 117 -0.411919
16 160 -0.633975
17 16 -0.421676
17 17 1.81126
17 18 -0.292566
17 117 -0.292414
17 130 -0.804608
18 17 -0.292566
18 18 1.75488
18 19 -0.246306
18 130 -0.475544
18 567 -0.740463
19 18 -0.246306
19 19 1.85676
19 20 -0.045093
19 132 -1.00467
19 567 -0.560686
20 19 -0.045093
20 20 1.88122
20 21 -0.343619
20 127 -0.455178
20 132 -1.03733
21 20 -0.343619
21 21 1.75783
21 22 -0.204476
21 126 -0.726098
21 127 -0.483636
22 21 -0.204476
22 22 1.80029
22 23 -0.401997
22 110 -0.373063
22 126 -0.820758
23 22 -0.401997
23 23 1.94858
23 24 -0.0141189
23 109 -1.13159
23 110 -0.400872
24 23 -0.0141189
24 24 1.87759
24 25 -0.178078
24 109 -0.871512
24 112 -0.813882
25 24 -0.178078
25 25 0.830913
25 26 -0.178078
25 112 -0.474757
26 25 -0.178078
26 26 1.87759
26 27 -0.0141189
26 112 -0.813882
26 113 -0.871512
27 26 -0.0141189
27 27 1.94858
27 28 -0.402001
27 113 -1.13159
27 114 -0.400868
28 27 -0.402001
28 28 1.80268
28 29 -0.203829
28 114 -0.368751
28 199 -0.828099
29 28 -0.203829
29 29 1.75091
29 30 -0.335829
29 199 -0.693769
29 200 -0.51748
30 29 -0.335829
30 30 1.88042
30 31 -0.0527279
30 200 -0.450083
30 205 -1.04178
31 30 -0.0527279
31 31 1.8281
31 32 -0.237053
31 205 -0.860713
31 211 -0.677603
32 31 -0.237053
32 32 1.86593
32 33 -0.0788678
32 211 -0.508586
32 212 -1.04143
33 32 -0.0788678
33 33 1.89031
33 34 -0.41978
33 208 -0.383199
33 212 -1.00846
34 33 -0.41978
34 34 1.80028
34 35 -0.267995
34 208 -0.328232
34 234 -0.784272
35 34 -0.267995
35 35 1.70846
35 36 -0.331339
35 232 -0.32017
35 233 -0.196445
35 234 -0.592511
36 35 -0.331339
36 36 2.10073
36 37 -0.406611
36 233 -1.36278
37 36 -0.406611
37 37 1.78688
37 38 -0.282431
37 220 -0.222577
